City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
350,Paducah,US,80.46,few clouds,37.0834,-88.6001,"Holiday Inn Paducah Riverfront, an IHG Hotel"
351,Namwala,ZM,84.11,overcast clouds,-15.7504,26.4384,Corner Point Lodge
352,Yulara,AU,65.88,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
354,Kununurra,AU,89.55,clear sky,-15.7667,128.7333,Hotel Kununurra
355,Bonthe,SL,78.96,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
356,Biak,ID,77.27,overcast clouds,-0.9131,122.8766,Penginapan Kim
357,La Crosse,US,77.34,clear sky,43.8014,-91.2396,Holiday Inn & Suites La Crosse - Downtown
358,Seminole,US,85.41,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering Lemonade and Shaved Hawaiian Ice
359,Khanpur,PK,75.83,clear sky,28.6453,70.6567,Ahmad Bartan store
360,Hamilton,US,79.75,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
362,Necochea,AR,69.03,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
363,Korla,CN,52.74,overcast clouds,41.7597,86.1469,Gulisitan Hotel
364,Sinnamary,GF,85.66,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
365,Sulangan,PH,83.53,overcast clouds,11.1373,123.7228,Maia's Beach Resort
366,Kearney,US,85.91,clear sky,40.6995,-99.0815,"Holiday Inn Kearney, an IHG Hotel"
368,Pisco,PE,67.01,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
369,Wuwei,CN,50.74,overcast clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
372,Jardim,BR,87.55,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
373,Quchan,IR,53.98,light rain,37.106,58.5095,گلیم دستبافت کیمیایی
376,Koupela,BF,87.58,clear sky,12.1794,-0.3517,La maison des femmes prostituées ou Bourdelles de tenkodogo
377,Brae,GB,51.84,overcast clouds,60.3964,-1.353,Busta House Hotel
378,Buckeye,US,76.82,few clouds,33.3703,-112.5838,Buckeye Motor Hotel
380,Itacare,BR,79.52,few clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
381,Minbu,MM,75.27,overcast clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
382,Indramayu,ID,81.05,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
384,Rio Gallegos,AR,66.25,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
385,Teguise,ES,70.02,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
386,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
388,Rusape,ZW,63.43,overcast clouds,-18.5278,32.1284,Surrey Lodge
392,Havelock,US,64.4,overcast clouds,34.8791,-76.9013,Sherwood Motel
395,Beinamar,TD,74.34,light rain,8.6698,15.3813,
396,Padang,ID,75.56,overcast clouds,-0.9492,100.3543,Mercure Padang
397,Hualmay,PE,67.53,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
398,Portland,US,56.12,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
399,Kano,NG,83.79,overcast clouds,12.0001,8.5167,Royal Tropicana Hotel
401,Boende,CD,76.08,broken clouds,-0.2167,20.8667,
402,Cannes,FR,71.6,clear sky,43.55,7.0167,Hotel Barrière Le Majestic Cannes
403,Sao Felix Do Xingu,BR,89.08,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
406,Whitianga,NZ,54.55,few clouds,-36.8333,175.7,Beachside Resort Whitianga
407,Nisko,PL,54.86,few clouds,50.5199,22.1397,Zajazd Pod Jesionami
408,Katobu,ID,75.51,overcast clouds,-4.9408,122.5276,La Ode Husein
409,Waddan,LY,69.1,clear sky,29.1614,16.139,محل الشريف محمد العايب
410,Lagoa,PT,64.02,few clouds,39.05,-27.9833,Casa Das Faias
411,Ati,TD,92.86,clear sky,13.2154,18.3353,
413,Pontianak,ID,75.18,moderate rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
414,Zhuhai,CN,78.58,few clouds,22.2769,113.5678,珠海粤财假日酒店
416,Caborca,MX,72.46,overcast clouds,30.5838,-111.101,Hotel Los Lagos
417,Gat,IL,70.81,clear sky,31.61,34.7642,OlusHome
418,Hambantota,LK,78.67,overcast clouds,6.1241,81.1185,Bungalow 63
419,Pacific Grove,US,67.55,clear sky,36.6177,-121.9166,Lovers Point Inn
420,Lima,PE,64.65,clear sky,-12.0432,-77.0282,Hotel Kamana
421,Bryan,US,86.02,broken clouds,30.6744,-96.37,Best Western Premier Bryan College Station
422,Bima,ID,78.39,few clouds,-8.4667,118.7167,Lambitu Hotel
423,Trapani,IT,70.23,clear sky,37.8333,12.6667,
